fecha,concepto,categoria,importe,metodo_pago
2026-03-01,AWS hosting mensual,infraestructura,2340.00,tarjeta empresa
2026-03-01,Slack Business+,software,450.00,tarjeta empresa
2026-03-02,Comida equipo - reunión kickoff Q1,comidas,1850.00,tarjeta diego
03/03/2026,Uber al aeropuerto,transporte,187.50,tarjeta empresa
2026-03-03,Vuelo CDMX-MTY ida y vuelta (Diego),viajes,4200.00,tarjeta empresa
2026-03-04,Hotel Monterrey 2 noches,viajes,3100.00,tarjeta empresa
2026-03-05,GitHub Enterprise,software,630,tarjeta empresa
2026-03-05,Notion Team plan,software,320.00,tarjeta empresa
2026-03-07,Papelería y toner impresora,oficina,485.00,efectivo
2026-03-08,Google Workspace,software,540.00,tarjeta empresa
2026-03-10,Comida con cliente Logistica Express,comidas,2200,tarjeta diego
2026-03-10,Uber oficina-restaurante,transporte,95.00,tarjeta empresa
2026-03-12,Figma Enterprise anual (prorrateado),software,890.00,tarjeta empresa
2026-03-14,café y snacks oficina,oficina,620.50,efectivo
2026-03-15,Vercel Pro,software,280.00,tarjeta empresa
2026-03-15,DataDog monitoring,infraestructura,1100.00,tarjeta empresa
03/17/2026,Comida equipo - sprint planning,comidas,1540.00,tarjeta diego
2026-03-18,Sillas ergonómicas x2,oficina,8900.00,transferencia
2026-03-19,LinkedIn Premium Recruiter (1 mes),rrhh,1200.00,tarjeta empresa
2026-03-20,Café cliente - Farmacia del Norte,comidas,380.00,tarjeta diego
